user_id,Submit_Date,Start_Date,Date_Timestamp,Question_01,Question_02,Question_03,Question_04,Question_05,Question_06,Question_07,Question_08,Question_09,Question_10,Question_11,Question_12,Question_13,Question_14,Question_15,Question_16,Question_17,Question_18,Question_19,Question_20
621e2f6167b776a240e082a9,14/6/2021 10:56,14/6/2021 10:55,14/6/2021 10:56,3,2,3,1,3,2,2,1,3,3,1,3,2,2,3,3,2,2,3,2
621e2f6167b776a240e082a9,23/6/2021 21:40,23/6/2021 21:38,23/6/2021 21:40,2,3,2,3,1,1,4,2,1,2,4,2,3,2,3,3,2,3,2,3
621e2f6167b776a240e082a9,29/6/2021 15:23,29/6/2021 15:22,29/6/2021 15:23,2,3,1,2,1,5,3,2,2,3,2,2,4,2,3,2,2,2,1,2
621e2f6167b776a240e082a9,2/8/2021 23:05,2/8/2021 23:04,2/8/2021 23:05,2,4,2,2,1,4,1,1,2,2,3,2,3,2,4,2,1,2,2,2
621e2f7a67b776a240f14425,8/6/2021 9:30,8/6/2021 9:29,8/6/2021 9:30,3,4,3,4,4,1,1,1,3,3,1,4,1,1,2,4,4,1,3,1
621e2f7a67b776a240f14425,31/5/2021 14:03,31/5/2021 14:02,31/5/2021 14:03,4,4,2,1,2,1,1,1,1,2,1,1,1,1,1,3,3,1,2,1
621e2f7a67b776a240f14425,20/6/2021 22:46,20/6/2021 22:45,20/6/2021 22:46,4,3,4,2,3,1,1,1,4,4,1,4,2,1,1,5,4,2,5,2
621e2f7a67b776a240f14425,22/6/2021 9:03,22/6/2021 9:01,22/6/2021 9:03,5,2,5,1,4,1,1,1,5,4,1,3,1,1,3,4,4,3,5,1
621e2f7a67b776a240f14425,28/6/2021 12:46,28/6/2021 12:44,28/6/2021 12:46,4,2,5,2,4,1,1,1,5,3,1,3,2,2,4,5,3,2,5,1
621e2f7a67b776a240f14425,6/7/2021 12:58,6/7/2021 12:57,6/7/2021 12:58,2,5,2,5,3,1,3,1,4,2,1,5,1,1,5,5,5,1,3,3
